step,seed2,seed1,seed0
0,23.1769752502441,24.2872371673584,23.5570335388184
40000,158.341278076172,73.8813552856445,78.2581024169922
80000,162.153060913086,142.843948364258,131.593399047852
120000,236.43440246582,169.331512451172,155.829711914063
160000,256.894470214844,185.292068481445,206.769973754883
200000,346.255798339844,281.486907958984,243.427658081055
240000,388.565246582031,344.259552001953,324.767486572266
280000,349.611450195312,367.84423828125,347.408660888672
320000,385.569458007812,428.498626708984,381.710388183594
360000,365.399841308594,474.784240722656,327.528259277344
400000,399.390563964844,548.58935546875,405.828430175781
440000,462.968200683594,545.603515625,453.252502441406
480000,449.930511474609,549.079406738281,475.922668457031
520000,382.096588134766,566.310668945313,478.153472900391
560000,377.047607421875,555.493041992188,400.497863769531
600000,428.3642578125,578.327758789063,479.016906738281
640000,429.367004394531,584.557250976563,482.024993896484
680000,464.152252197266,617.332214355469,542.478454589844
720000,487.244781494141,513.561462402344,579.913452148438
760000,530.61328125,631.380676269531,579.452514648438
800000,418.944183349609,645.878540039063,597.099426269531
840000,510.504577636719,590.083923339844,626.507629394531
880000,333.862945556641,656.340209960938,544.221496582031
920000,171.680572509766,601.380187988281,637.378112792969
960000,545.003540039063,665.646179199219,644.826721191406
1000000,501.400695800781,659.721435546875,634.917114257813
1040000,474.834075927734,661.8203125,659.098999023438
1080000,482.992095947266,665.863952636719,636.036437988281
1120000,482.235931396484,620.390991210938,644.923583984375
1160000,498.851226806641,662.284606933594,690.858215332031
1200000,490.627868652344,685.892761230469,504.244140625
1240000,425.303161621094,680.109008789063,665.752624511719
1280000,485.682067871094,597.863159179687,579.689392089844
1320000,456.89990234375,664.84423828125,714.023986816406
1360000,480.660217285156,681.108825683594,699.310729980469
1400000,416.611633300781,686.016967773438,672.291137695312
1440000,270.732971191406,688.109436035156,709.645446777344
1480000,482.804595947266,675.543640136719,660.828002929688
1520000,427.062347412109,673.807739257813,648.61279296875
1560000,382.264495849609,666.868041992188,714.910217285156
1600000,510.126892089844,687.5126953125,646.655578613281
1640000,530.417297363281,718.814880371094,718.126098632813
1680000,519.731079101563,644.639587402344,642.963073730469
1720000,541.859252929688,696.878784179688,718.493041992187
1760000,485.695892333984,691.935729980469,694.42236328125
1800000,464.9521484375,711.889099121094,694.062622070313
1840000,511.081878662109,696.002685546875,702.173217773438
1880000,565.293029785156,616.14453125,712.469116210938
1920000,523.364135742188,655.588195800781,720.608764648437
1960000,497.815673828125,690.350402832031,697.708129882813
2000000,546.093627929688,700.133422851563,726.319641113281
2040000,548.43212890625,638.047607421875,717.330505371094
2080000,544.997009277344,674.44287109375,672.467712402344
2120000,534.312316894531,685.685668945313,736.762573242187
2160000,531.388305664063,696.643005371094,706.251770019531
2200000,534.212280273438,702.254699707031,684.943298339844
2240000,514.274536132813,687.744995117188,669.060546875
2280000,486.972747802734,692.380187988281,667.767761230469
2320000,545.609680175781,711.44873046875,665.525573730469
2360000,557.516479492188,670.484497070312,719.108276367188
2400000,538.427551269531,671.756958007813,694.254272460938
2440000,529.695922851563,697.273620605469,710.503051757813
2480000,556.506469726563,687.005310058594,707.181762695313
2520000,582.791381835937,616.388549804688,750.051086425781
2560000,565,686.88916015625,702.205505371094
2600000,570.386413574219,691.047180175781,722.646118164063
2640000,614.712890625,703.301635742188,659.610656738281
2680000,609.969604492188,622.732055664063,738.593139648438
2720000,610.815734863281,646.999633789063,712.116088867188
2760000,546.427551269531,710.711364746094,738.810363769531
2800000,553.512145996094,697.697875976563,695.853881835938
2840000,633.686279296875,707.891479492188,672.178771972656
2880000,568.547668457031,713.495422363281,711.007080078125
2920000,601.263793945313,696.323547363281,719.773132324219
2960000,649.390258789063,726.499694824219,728.360534667969
3000000,569.088745117188,688.113830566406,732.378540039062
