step,Q,grad_norm,value_loss,consistency_loss,encoder_loss,reward_loss,total_loss
1,0.185851708054543,4.93257665634155,2.16527450902504E-06,0.484159260988236,28.3618583679199,0.0151985920965672,1.00427985191345
2,0.083556093275547,4.30444240570068,4.81314509670483E-06,0.519613981246948,25.1795959472656,5.60089983991929E-06,1.0644109249115
3,0.0611552596092224,4.33244323730469,3.25860037264647E-06,0.551613330841064,23.2523231506348,2.87762077277876E-06,1.1264808177948
4,0.0428869090974331,4.13604640960693,2.82638347925968E-06,0.580506324768066,21.6320991516113,2.59617354458896E-06,1.18264627456665
5,0.0297099836170673,4.32952976226807,5.73408397031017E-06,0.594228148460388,18.9020919799805,3.37879055223311E-06,1.20736062526703
6,0.0162641536444426,4.05985307693481,3.56028567694011E-06,0.584132552146912,16.5872039794922,1.65775645655231E-06,1.18485343456268
7,0.0145162241533399,4.37360334396362,4.2829524318222E-06,0.597848892211914,16.0777702331543,1.05349465684412E-06,1.21177649497986
8,0.00681837787851691,4.17157983779907,4.14485202782089E-06,0.606269001960754,15.1444034576416,2.24764835365931E-06,1.22768402099609
9,-0.00207212683744729,4.16740465164185,2.87533885057201E-06,0.595213890075684,14.1474447250366,1.2101954780519E-06,1.2045761346817
10,-0.0140359168872237,3.5844874382019,2.00013437279267E-06,0.582080960273743,13.2393779754639,2.31363787861483E-06,1.17740261554718
11,-0.0149569762870669,3.82063293457031,7.64339529268909E-06,0.555033445358276,11.0789794921875,1.79487312834681E-06,1.12114763259888
12,-0.0149714564904571,3.64266395568848,2.24660630010476E-06,0.544488430023193,10.9203224182129,4.37161224908778E-06,1.09989953041077
13,-0.0188531074672937,3.64696907997131,3.31360524796764E-06,0.532006502151489,10.1904335021973,1.08522931441257E-06,1.07420444488525
14,-0.0219147577881813,3.49579882621765,1.7138222574431E-06,0.52680516242981,9.59969329833984,1.11603878849564E-06,1.06321084499359
15,-0.0220442172139883,3.63909101486206,1.59352566697635E-06,0.524215936660767,8.44011116027832,1.62776871093229E-06,1.05687296390533
16,-0.0193880740553141,3.07606434822083,2.80126846519124E-06,0.505689799785614,8.40798091888428,1.30589546643023E-06,1.01978850364685
17,-0.0217200312763453,3.23429203033447,2.32046977544087E-06,0.486907482147217,8.22780227661133,8.23670347926964E-07,0.982043504714966
18,-0.0238417442888021,3.38211154937744,1.83230008587998E-06,0.483107715845108,7.27755451202393,2.04132493308862E-06,0.973494231700897
19,-0.0230241063982248,3.31639742851257,1.1700544746418E-06,0.459081292152405,7.22173452377319,1.7019007145791E-06,0.925385236740112
20,-0.0278896074742079,3.19921326637268,4.69439237349434E-06,0.451322376728058,7.20800542831421,1.84584769158391E-06,0.909854173660278
21,-0.0349990203976631,3.4124870300293,3.10431505567976E-06,0.431391477584839,6.10047626495361,1.12998634449468E-06,0.868884325027466
22,-0.0373421870172024,2.97556066513062,2.5954473130696E-06,0.413586020469666,5.67025661468506,6.03345029048796E-07,0.832842826843262
23,-0.0379314087331295,3.06004977226257,2.5895233193296E-06,0.400514841079712,5.16569519042969,1.6471733488288E-06,0.806196451187134
24,-0.038890715688467,2.75236678123474,1.93594610209402E-06,0.393498957157135,4.6900110244751,4.77983689961548E-07,0.791688323020935
25,-0.0678808093070984,2.8541100025177,2.843965376087E-06,0.371436893939972,4.18361377716064,9.07091987301101E-07,0.747058153152466
26,-0.0705148354172707,2.79987025260925,3.86229476134758E-06,0.355495750904083,3.70673036575317,1.55520433509082E-06,0.714699387550354
27,-0.0703721791505814,2.88960289955139,1.021492153086E-06,0.354799777269363,3.74122714996338,2.12624982509624E-07,0.713340938091278
28,-0.0694798231124878,2.88035130500793,1.40648785418307E-06,0.333560526371002,3.17319774627686,1.60441129537503E-06,0.670295178890228
29,-0.0655440613627434,2.58383059501648,2.44670354732079E-06,0.331070303916931,3.28971433639526,2.43374847741507E-06,0.66543185710907
30,-0.0661413371562958,2.7303318977356,3.09624192595948E-06,0.325208187103271,3.22063970565796,2.03056242753519E-06,0.653638362884522
31,-0.0725834220647812,2.7712094783783,1.28147348732455E-06,0.311289221048355,2.7840359210968,1.34505785354122E-06,0.625363290309906
33,-0.0722222924232483,2.42481756210327,3.66078074875986E-06,0.290507614612579,2.57087635993958,3.36220136887277E-06,0.583588242530823
34,-0.0719766020774841,2.65816760063171,1.68000713074434E-06,0.290642261505127,2.49906921386719,2.35969150708115E-06,0.583784997463226
35,-0.0713778436183929,2.638019323349,9.35132811719086E-06,0.27464696764946,2.20582723617554,2.37070344155654E-06,0.551501870155335
36,-0.0667274072766304,2.56055164337158,3.12252677758806E-06,0.272515714168549,2.34898090362549,2.48185642703902E-06,0.54738199710846
37,-0.0645626857876778,2.30974102020264,2.14932833841885E-06,0.262185454368591,2.12764000892639,1.8669743440114E-06,0.526499688625336
38,-0.0655999630689621,2.39459037780762,3.20633307637763E-06,0.249122083187103,2.09075546264648,9.24845664940222E-07,0.500335693359375
39,-0.0616265349090099,2.33348512649536,2.33477226174728E-06,0.24850606918335,2.10685753822327,1.88203875950421E-06,0.49912017583847
40,-0.0608492493629456,2.23108768463135,1.45104354487557E-06,0.240572601556778,2.01775002479553,7.88534634921234E-07,0.483163475990295
41,-0.0606011413037777,2.36555504798889,1.83006102361105E-06,0.234215468168259,1.95895564556122,8.07921537671064E-07,0.470390498638153
42,-0.0567769967019558,2.62595105171204,3.64099355465441E-06,0.245969414710999,1.94213008880615,1.2012859542665E-06,0.493881911039352
43,-0.0577960424125195,2.34848952293396,7.21777553280845E-07,0.227951973676682,1.92226672172546,1.02113676803128E-06,0.45782682299614
44,-0.0534924939274788,2.41024518013,1.92311790669919E-06,0.220091998577118,1.85451018810272,1.29498323531152E-06,0.442039370536804
45,-0.0491504445672035,2.34624695777893,1.94985523194191E-06,0.220562726259232,1.77160501480103,3.26386452798033E-06,0.442898899316788
46,-0.0510231032967567,2.10732483863831,2.74478679784806E-06,0.207878202199936,1.8003568649292,1.03208265045396E-06,0.417557537555695
47,-0.0454442352056503,2.32392978668213,1.21052198664984E-06,0.203841924667358,1.81062245368958,1.35172456339205E-06,0.409495264291763
48,-0.0473855212330818,2.5152063369751,5.56021348074864E-07,0.204937607049942,1.78381299972534,5.53767051769682E-07,0.411659359931946
49,-0.0569573231041431,2.17493724822998,9.78498701442732E-06,0.206544399261475,1.65561842918396,7.74386990087805E-07,0.414745777845383
50,-0.0524594485759735,2.3897123336792,1.84486793841643E-06,0.200470983982086,1.54157316684723,4.20190326622105E-06,0.4024857878685
51,-0.0521253012120724,2.16493606567383,1.79095445673738E-06,0.208970040082932,1.83991181850433,1.40550253036054E-06,0.419780850410461
52,-0.0506733544170857,2.01270079612732,1.41683949550497E-06,0.194645807147026,1.62919855117798,2.32997354032705E-06,0.390922129154205
53,-0.054858960211277,2.22266983985901,1.11870883756637E-06,0.19569656252861,1.76784992218018,6.77644834468083E-07,0.393161445856094
54,-0.0520876906812191,2.27752494812012,1.3664623566001E-06,0.193295538425446,1.54508006572723,1.87682280738954E-06,0.388137221336365
55,-0.0514738149940968,2.16571831703186,6.83572579873726E-05,0.195228427648544,1.62484860420227,7.99585052391194E-07,0.392088949680328
56,-0.0538282878696919,2.53506231307983,3.06538231598097E-06,0.199467405676842,1.66052210330963,9.36722244659904E-07,0.400596082210541
57,-0.0516508482396603,2.22060918807983,2.41663815359061E-06,0.200811892747879,1.68770897388458,5.30292709299829E-06,0.403314352035522
58,-0.0477299019694328,1.9290144443512,2.89430772681953E-06,0.194114983081818,1.81807851791382,1.62775586431962E-06,0.39004909992218
59,-0.0431086458265781,2.18748235702515,2.21614573092666E-06,0.193764612078667,1.60354232788086,2.21323512050731E-06,0.389134109020233
60,-0.0420067273080349,2.21810483932495,1.41557916322199E-06,0.194718345999718,1.72188103199005,1.28050317016459E-06,0.391159355640411
61,-0.0405370704829693,2.04287528991699,1.71069427779003E-06,0.184953674674034,1.48043751716614,1.45086789871129E-06,0.371388673782349
62,-0.0425817556679249,2.24111604690552,3.57556200469844E-06,0.188922986388206,1.67064118385315,1.62345668286434E-06,0.379517763853073
63,-0.0405543930828571,2.06498980522156,8.06096352334862E-07,0.195316180586815,1.69024014472961,1.4546201327903E-06,0.392323434352875
