step,seed2,seed1,seed0
0,3.09558343887329,0.655921161174774,2.09322667121887
80000,297.910827636719,478.180328369141,28.0717258453369
160000,830.14208984375,899.6435546875,322.187072753906
240000,914.98681640625,939.90625,544.366821289063
320000,936.049133300781,947.01708984375,716.093200683594
400000,956.502746582031,935.887573242188,923.812194824219
480000,849.046875,932.665893554688,902.568237304688
560000,944.170227050781,932.405578613281,928.694702148438
640000,949.788757324219,934.902954101563,849.719604492188
720000,880.035827636719,935.939270019531,940.746398925781
800000,947.112915039063,942.744934082031,944.3203125
880000,960.134948730469,706.309936523438,940.188842773438
960000,948.012878417969,949.328002929687,942.631469726562
1040000,944.756469726562,945.570617675781,945.95458984375
1120000,956.152709960938,843.711547851563,949.196655273438
1200000,935.509582519531,923.165893554688,892.423034667969
1280000,961.958129882813,858.019897460938,953.206176757812
1360000,945.132995605469,944.026550292969,942.007446289063
1440000,957.604614257813,954.59814453125,958.936828613281
1520000,948.621276855469,956.456848144531,867.315612792969
1600000,932.488891601563,945.783325195313,953.000366210937
1680000,947.948425292969,937.1396484375,939.22314453125
1760000,956.52001953125,818.319030761719,956.457824707031
1840000,952.44580078125,957.657592773438,952.945495605469
1920000,950.553100585938,957.826843261719,959.378112792969
2000000,958.82763671875,951.474243164063,958.339233398437
2080000,951.51708984375,948.369934082031,952.820617675781
2160000,958.2890625,939.594909667969,950.00634765625
2240000,855.743774414063,861.255676269531,945.848327636719
2320000,952.767700195312,955.425476074219,949.186706542969
2400000,956.242797851563,961.108276367188,957.297546386719
2480000,956.957885742188,930.815124511719,945.99365234375
2560000,947.741088867187,948.36474609375,948.880249023438
2640000,866.005859375,959.7705078125,963.247253417969
2720000,956.388854980469,957.7197265625,964.226928710938
2800000,950.152221679688,963.3837890625,944.663208007813
2880000,958.259887695312,947.269348144531,943.042175292969
2960000,957.716003417969,962.127807617187,942.972961425781
3040000,964.841186523437,884.570495605469,959.525695800781
3120000,962.303100585937,946.565307617188,859.476257324219
3200000,952.633178710938,950.256713867188,959.324584960937
3280000,957.214660644531,859.28955078125,951.826477050781
3360000,955.462707519531,951.269653320312,950.005004882813
3440000,948.818359375,952.34423828125,955.419067382812
3520000,954.234252929687,951.179382324219,938.507629394531
3600000,944.630249023438,940.670227050781,955.225219726563
3680000,954.531921386719,937.912475585937,961.030639648438
3760000,939.744323730469,955.235717773438,945.209350585938
3840000,935.625854492188,855.707336425781,960.1943359375
3920000,855.08935546875,960.906372070312,863.340026855469
4000000,958.385620117187,907.790893554687,959.744445800781
