step,seed4,seed3,seed2,seed1,seed0
0,36.2758560180664,38.6306228637695,33.4351272583008,33.9789276123047,37.5628433227539
40000,136.845825195313,62.2906684875488,40.8924903869629,88.051139831543,56.0739517211914
80000,163.679473876953,99.5737686157227,54.9730453491211,118.739097595215,85.9734573364258
120000,216.059326171875,126.393173217773,60.1306991577148,122.922241210938,113.691696166992
160000,218.91877746582,135.018493652344,69.2374420166016,173.157379150391,135.887969970703
200000,272.628479003906,150.866943359375,69.0311126708984,175.630187988281,115.707458496094
240000,321.665771484375,134.048477172852,69.9964141845703,213.815017700195,186.574890136719
280000,332.743225097656,161.854110717773,84.4681167602539,179.473175048828,183.585998535156
320000,309.028228759766,131.788772583008,83.2396621704102,223.667144775391,255.034271240234
360000,272.092102050781,97.1649932861328,78.1343078613281,262.735443115234,218.616424560547
400000,241.848480224609,68.2009735107422,70.1503295898438,283.64599609375,115.849464416504
440000,192.859161376953,337.216949462891,72.1013031005859,295.683685302734,89.818962097168
480000,209.47917175293,267.563873291016,79.6608200073242,250.07080078125,70.4905624389648
520000,184.135070800781,168.981292724609,89.723518371582,175.195816040039,71.4449615478516
560000,192.165130615234,122.255104064941,102.480361938477,162.706024169922,74.7881011962891
600000,161.458709716797,132.554214477539,109.34073638916,130.445617675781,72.9336929321289
640000,188.654220581055,158.770874023438,99.9330902099609,119.57080078125,198.480270385742
680000,171.359191894531,167.45036315918,107.898704528809,271.346618652344,167.900360107422
720000,190.514373779297,224.513229370117,122.821876525879,191.75569152832,158.230484008789
760000,222.73127746582,171.837356567383,99.5975952148438,285.807464599609,233.045333862305
800000,220.33137512207,125.071800231934,81.2988433837891,310.904968261719,175.003875732422
840000,232.837036132812,240.341430664062,88.240348815918,337.202087402344,229.103179931641
880000,225.212371826172,87.8967208862305,122.903907775879,360.001220703125,112.578819274902
920000,208.299285888672,201.450942993164,186.255798339844,348.544189453125,194.799102783203
960000,221.97492980957,251.578857421875,200.419509887695,379.667266845703,231.280487060547
1000000,208.267776489258,151.42839050293,183.670104980469,393.769226074219,108.48250579834
1040000,166.395370483398,156.687347412109,189.412109375,397.689727783203,248.417510986328
1080000,222.25,222.171676635742,177.889007568359,382.437561035156,117.123008728027
1120000,196.204208374023,150.206420898438,203.94010925293,410.518981933594,191.534088134766
1160000,219.557586669922,220.061233520508,197.369430541992,437.18994140625,193.22721862793
1200000,236.82341003418,302.633361816406,211.448684692383,417.38623046875,132.856170654297
1240000,219.14013671875,187.923797607422,210.413497924805,429.345611572266,245.542938232422
1280000,201.156707763672,113.000022888184,197.302673339844,441.006195068359,300.819000244141
1320000,232.266357421875,188.455230712891,215.332977294922,428.254730224609,316.071136474609
1360000,202.262664794922,137.246231079102,197.022903442383,418.422210693359,227.630569458008
1400000,203.764892578125,139.128921508789,234.711029052734,463.909576416016,280.935150146484
1440000,214.87614440918,85.6346282958984,216.608963012695,464.803131103516,326.394866943359
1480000,213.32795715332,134.591094970703,216.449020385742,447.989654541016,362.569030761719
1520000,194.113250732422,152.535461425781,216.249923706055,473.554443359375,389.161315917969
1560000,208.518920898437,267.520446777344,220.663330078125,460.275451660156,399.342315673828
1600000,217.417816162109,288.389953613281,215.303634643555,467.164611816406,349.580078125
1640000,209.046310424805,302.881378173828,218.137420654297,479.732360839844,376.420104980469
1680000,230.086944580078,234.358520507813,225.18212890625,446.490875244141,413.610168457031
1720000,216.59001159668,237.355545043945,224.355987548828,488.648345947266,406.658935546875
1760000,245.982391357422,260.814758300781,210.279098510742,473.593322753906,413.267822265625
1800000,246.252243041992,234.419189453125,216.505813598633,509.012542724609,456.674652099609
1840000,248.840972900391,229.130035400391,223.345748901367,472.200286865234,437.288238525391
1880000,238.278442382812,209.960525512695,182.970001220703,493.677093505859,444.162780761719
