step,seed4,seed3,seed2,seed1,seed0
0,119.682632446289,112.419296264648,107.882369995117,101.721694946289,118.600791931152
80000,291.652648925781,341.114166259766,263.733978271484,357.420227050781,244.14714050293
160000,490.3125,467.048919677734,465.254577636719,606.978210449219,369.706634521484
240000,587.932800292969,446.276306152344,530.477478027344,719.764221191406,460.919250488281
320000,728.810607910156,621.870178222656,583.744750976563,754.102416992188,514.062377929688
400000,696.769714355469,706.852416992188,691.494812011719,731.794982910156,571.7626953125
480000,730.308471679688,744.034301757813,705.171081542969,815.298278808594,726.621704101563
560000,761.1953125,652.035034179688,701.296020507813,764.822937011719,739.898681640625
640000,821.493347167969,750.086608886719,759.223693847656,792.692565917969,705.502807617188
720000,798.469055175781,834.265930175781,819.179748535156,802.759887695312,796.865295410156
800000,825.818237304688,807.084167480469,762.86962890625,758.596069335938,795.975463867188
880000,801.047485351563,813.236206054688,792.468505859375,827.014465332031,786.220520019531
960000,839.568969726563,763.138916015625,761.758483886719,846.800170898437,754.927612304688
1040000,836.737121582031,842.208190917969,843.201293945313,752.355590820313,831.97998046875
1120000,806.936157226563,842.108215332031,840.256042480469,826.174926757813,805.864929199219
1200000,861.13330078125,733.953979492188,811.583068847656,795.52685546875,739.066772460938
1280000,824.582336425781,807.106079101563,793.883850097656,809.140380859375,715.413452148438
1360000,833.257141113281,818.994140625,790.1474609375,835.168823242188,832.049011230469
1440000,584.801879882813,677.904418945313,812.438720703125,732.040588378906,854.724243164062
1520000,862.130187988281,830.210327148438,851.54638671875,765.531677246094,797.973449707031
1600000,801.874450683594,846.347961425781,763.752075195313,832.732238769531,744.837585449219
1680000,838.348754882813,854.736145019531,768.356079101563,794.143371582031,832.716186523438
1760000,591.52490234375,842.333679199219,792.953002929688,801.51318359375,779.534057617188
1840000,797.815551757813,822.477905273438,778.267395019531,824.578735351563,714.500366210938
1920000,818.092590332031,837.633605957031,843.23681640625,767.637329101563,720.809204101563
2000000,848.580383300781,839.174011230469,684.61767578125,839.92822265625,786.919677734375
2080000,785.077941894531,752.253112792969,779.072021484375,852.275390625,779.487243652344
2160000,814.699096679687,774.830932617188,813.556823730469,750.568420410156,832.550659179688
2240000,809.495971679688,828.246276855469,845.59033203125,826.754211425781,764.858093261719
2320000,860.545532226563,755.376953125,613.611694335938,843.6064453125,742.383972167969
2400000,669.639892578125,826.378234863281,745.278259277344,846.949890136719,611.900634765625
2480000,860.642395019531,829.24462890625,720.785400390625,840.5947265625,805.465698242188
2560000,784.640197753906,777.667724609375,845.45361328125,850.329711914062,619.356018066406
2640000,830.429077148438,839.725769042969,810.936950683594,715.388977050781,801.744689941406
2720000,767.008117675781,845.5947265625,845.4677734375,850.116088867187,776.16552734375
2800000,849.251342773438,826.552368164063,755.046997070312,859.352355957031,736.082702636719
2880000,813.919250488281,792.469177246094,613.282531738281,730.310974121094,743.180786132813
2960000,719.174865722656,740.699462890625,856.683227539063,806.528930664063,717.814331054688
