step,seed4,seed3,seed2,seed1,seed0
0,11.2814455032349,9.8892993927002,13.9535293579102,13.3580732345581,12.5336198806763
80000,30.4786491394043,29.4727821350098,31.2910346984863,48.2027130126953,26.9885196685791
160000,48.0920028686523,40.2337875366211,40.540699005127,66.3798675537109,36.3302803039551
240000,96.4963836669922,54.2346992492676,60.1717758178711,86.9129409790039,68.9539108276367
320000,127.846946716309,74.8281555175781,97.8085250854492,91.6641006469727,66.3872146606445
400000,156.147338867188,100.090942382813,75.1762313842773,105.137329101563,88.8062286376953
480000,159.479293823242,73.0949020385742,58.9032363891602,89.4036331176758,119.422607421875
560000,173.964569091797,132.477905273438,95.1798553466797,122.973838806152,153.704376220703
640000,192.568298339844,122.946617126465,78.1097793579102,177.618789672852,125.985328674316
720000,159.332611083984,82.2312774658203,87.9455337524414,179.745452880859,91.7381973266602
800000,194.934921264648,43.4192886352539,96.4533462524414,216.40446472168,131.816864013672
880000,141.030014038086,51.8014106750488,92.1447296142578,206.889434814453,124.770797729492
960000,189.415237426758,55.5446662902832,108.198890686035,199.026489257813,177.48503112793
1040000,219.59309387207,40.500560760498,142.97331237793,226.944946289063,190.340347290039
1120000,211.114410400391,41.8810272216797,167.417572021484,216.314987182617,191.690444946289
1200000,220.659393310547,33.9494705200195,183.990127563477,221.074996948242,184.02180480957
1280000,215.518600463867,67.6580276489258,128.318054199219,228.087005615234,193.792572021484
1360000,200.655914306641,120.165016174316,165.243072509766,232.063018798828,222.082641601562
1440000,232.264846801758,114.610374450684,186.456085205078,204.772003173828,186.952239990234
1520000,202.166610717773,131.037841796875,112.163864135742,198.803649902344,209.245391845703
1600000,191.336837768555,156.626129150391,169.774383544922,214.465484619141,214.5751953125
1680000,213.31086730957,188.177154541016,161.344421386719,208.829879760742,197.982711791992
1760000,222.601196289063,147.110504150391,166.508163452148,212.680709838867,185.067779541016
1840000,199.522872924805,190.524520874023,175.565795898438,186.970306396484,182.853912353516
1920000,198.477264404297,168.219619750977,173.8232421875,178.670425415039,160.691879272461
2000000,186.930938720703,182.737396240234,113.744300842285,175.338775634766,225.265548706055
2080000,207.195556640625,176.918121337891,180.941680908203,203.675918579102,176.887893676758
2160000,201.626754760742,174.459030151367,173.660171508789,175.57243347168,212.294281005859
2240000,177.549285888672,220.589797973633,165.346618652344,164.674194335938,189.984344482422
2320000,189.167663574219,197.402557373047,167.622268676758,190.519897460938,223.637298583984
2400000,193.16145324707,156.004959106445,163.478408813477,203.689346313477,226.550338745117
2480000,170.595596313477,191.987274169922,176.946746826172,192.328720092773,199.621368408203
2560000,154.306198120117,231.064987182617,161.196380615234,209.656890869141,155.349334716797
2640000,193.899932861328,192.248077392578,171.933883666992,191.428421020508,213.681304931641
2720000,188.797332763672,226.667892456055,175.606018066406,168.659729003906,220.969482421875
2800000,208.460662841797,226.348541259766,190.936279296875,186.049362182617,154.696014404297
2880000,202.066253662109,197.082077026367,150.355651855469,193.171432495117,150.990982055664
2960000,153.086730957031,195.160675048828,178.540145874023,191.869476318359,171.680633544922
