step,seed4,seed3,seed2,seed1,seed0
0,0,5.40000009536743,0,0,0
80000,15,13.1999998092651,1.79999995231628,2.59999990463257,0
160000,0,5.40000009536743,51,5.09999990463257,41.7000007629395
240000,84.0999984741211,277.799987792969,800.200012207031,2.59999990463257,616.099975585938
320000,351.899993896484,807,862.200012207031,3.90000009536743,778.400024414063
400000,405.600006103516,806.900024414063,837.5,1.29999995231628,760.700012207031
480000,680.299987792969,784.299987792969,785.299987792969,35.0999984741211,862.900024414063
560000,764.900024414063,802.5,857.200012207031,13.6000003814697,784.599975585938
640000,831.200012207031,823.200012207031,824.799987792969,598,816.900024414062
720000,827,786.900024414063,727.400024414063,831.200012207031,865.799987792969
800000,852.400024414063,807.799987792969,786.099975585938,798.700012207031,728.900024414063
880000,896.200012207031,780.5,835.599975585938,878,766.200012207031
960000,782.900024414063,824.200012207031,812.700012207031,817.299987792969,775.5
1040000,830,815,852.900024414063,751.299987792969,846.400024414062
1120000,815.599975585937,714.200012207031,766.5,772.299987792969,830.700012207031
1200000,776.5,890.400024414063,822,790.5,846.599975585938
1280000,869.400024414063,826.400024414063,791.200012207031,809.099975585938,835.299987792969
1360000,759.900024414063,874.5,858.099975585938,786.400024414063,797.700012207031
1440000,733.900024414062,814.900024414063,861.900024414063,829.400024414062,833.400024414063
1520000,778.099975585937,803.200012207031,796.900024414063,811.5,788.400024414063
1600000,751.900024414063,871.599975585938,809.099975585938,817.799987792969,816.700012207031
1680000,714.200012207031,825.200012207031,813.799987792969,751.700012207031,789.799987792969
1760000,852.299987792969,773.299987792969,859,741.799987792969,857.400024414063
1840000,702.5,807.700012207031,781.5,826.400024414063,880.799987792969
1920000,763.700012207031,820.900024414063,720,843,816.200012207031
2000000,766.799987792969,742.099975585938,783.5,840.700012207031,816.299987792969
2080000,798.400024414063,862.099975585937,863.599975585938,829,801.799987792969
2160000,851.5,864.299987792969,834.099975585938,767.700012207031,792.799987792969
2240000,827,805.799987792969,813.200012207031,730.5,806.5
2320000,774.599975585938,768.400024414063,805.200012207031,837.200012207031,830.5
2400000,802.5,856.700012207031,785.799987792969,807,872.5
2480000,798,849.099975585938,820.5,766.400024414063,824.5
2560000,797.599975585938,822.400024414062,877.799987792969,709.799987792969,761.700012207031
2640000,808,811.200012207031,807.099975585938,842.099975585938,827.400024414063
2720000,780.400024414063,854.900024414063,831.099975585938,824.299987792969,853.900024414063
2800000,766,770.200012207031,866.299987792969,795.200012207031,874.200012207031
2880000,831.900024414063,770.299987792969,793.099975585938,864.299987792969,733
2960000,837.200012207031,797.900024414063,849.099975585938,830.5,791.599975585938
